x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Digit
0.075102374,0.138061136,0.192487031,0.196253061,0.147870108,0.140954554,0.15271914,0.154465139,0.152090117,0.086779594,0.092507109,0.112294503,0.122821882,0.035658255,0.031522743,0.061627589,0.083349533,-0.0132678,-0.025592946,-0.012732893,-0.002159357,0.901993871,0.855141699,0.76074338,0.672697127,0.626746833,0.623280227,0.503497005,0.427595079,0.364508986,0.621566176,0.508538008,0.537956238,0.589560032,0.643178105,0.538325071,0.580989957,0.641040862,0.684831202,0.610586882,0.609550595,0.629136801,5.74E-07,-0.037439998,-0.054135606,-0.069676884,-0.085828207,-0.019512517,-0.039929394,-0.057053521,-0.070425831,-0.020352159,-0.060338266,-0.085902326,-0.094176933,-0.024193203,-0.063506573,-0.07359349,-0.070444159,-0.031089978,-0.062235761,-0.069026649,-0.067312479,1
0.064627305,0.134461001,0.186153948,0.191970527,0.14478761,0.136537135,0.152757928,0.157240003,0.157505006,0.083856188,0.09271393,0.110288724,0.119520426,0.033053894,0.03238925,0.062906839,0.085576393,-0.015815392,-0.021992669,0.000360794,0.022406384,0.858248115,0.792907894,0.697421849,0.606814861,0.559231639,0.568967044,0.454523414,0.387687892,0.326221347,0.562647641,0.444397599,0.481277704,0.537984908,0.577961981,0.46913904,0.514739394,0.579502702,0.612199187,0.527715087,0.523650706,0.545009851,4.71E-07,-0.032840371,-0.047137607,-0.062885009,-0.078898676,-0.003303921,-0.02364197,-0.041802734,-0.055637676,-0.006449601,-0.049959224,-0.077748008,-0.085539319,-0.013562653,-0.053969655,-0.065996289,-0.06209315,-0.023900881,-0.051853511,-0.058883142,-0.057206448,1
0.065772958,0.135969877,0.186283857,0.193666369,0.148091435,0.138861135,0.154853016,0.157405481,0.157577664,0.089071885,0.095983751,0.114700139,0.127306104,0.039075583,0.039168358,0.065388463,0.084419377,-0.011057623,-0.022444412,-0.002676688,0.017485768,0.846994877,0.781542301,0.691748857,0.601142049,0.554393113,0.563250005,0.445604146,0.378445745,0.319120318,0.55672729,0.437397063,0.481916845,0.542396009,0.569740415,0.4600299,0.502434075,0.565289617,0.599860787,0.522292316,0.521787405,0.545107484,3.25E-07,-0.03112575,-0.045968831,-0.062447194,-0.079291843,-0.005844806,-0.026949594,-0.045537937,-0.059818111,-0.009370263,-0.053016886,-0.08092127,-0.089385025,-0.016341951,-0.053035736,-0.064094216,-0.061483856,-0.026574612,-0.049633339,-0.055336695,-0.054144852,1
0.064335778,0.137700945,0.192638353,0.201887339,0.153895169,0.146071762,0.162798733,0.167157382,0.169104993,0.096617818,0.106787756,0.122949108,0.135246873,0.045710079,0.0486538,0.070899934,0.088932656,-0.007080831,-0.01502648,0.004363433,0.024821192,0.824834764,0.759894311,0.666386366,0.572846413,0.527467549,0.543844998,0.426993847,0.359752059,0.301057756,0.537406087,0.41650489,0.457611769,0.515666842,0.548209071,0.434560955,0.474555105,0.538966179,0.575793505,0.497662008,0.496954888,0.523480296,3.88E-07,-0.033593141,-0.048353136,-0.065117687,-0.082529321,-0.000587083,-0.021859674,-0.041760795,-0.057266187,-0.003275433,-0.04807324,-0.078933984,-0.089520752,-0.010214598,-0.04979654,-0.065300308,-0.06515611,-0.020602155,-0.047786292,-0.058055587,-0.059819888,1
0.086643025,0.157288432,0.212225124,0.220499635,0.172849432,0.165429547,0.179836825,0.185275853,0.186610937,0.118844405,0.124713913,0.141328305,0.150772035,0.073076934,0.071149834,0.093724698,0.107004613,0.026269607,0.01677788,0.03516598,0.049772196,0.803397059,0.743984759,0.655897856,0.56267345,0.51975441,0.52846086,0.41370219,0.347848177,0.290950507,0.522712409,0.406368822,0.453469038,0.510379791,0.531199217,0.422794461,0.469150722,0.534123063,0.552219987,0.466897666,0.474713027,0.510718167,2.65E-07,-0.031030867,-0.045646016,-0.062563203,-0.080148041,-0.001831689,-0.019316232,-0.035704169,-0.048844818,-0.004407789,-0.042803582,-0.067423679,-0.07484632,-0.010648393,-0.043562062,-0.053167332,-0.050473299,-0.020484241,-0.04147375,-0.046167877,-0.044760372,1
0.092977837,0.162086457,0.216321692,0.221395403,0.174479842,0.170198381,0.185144559,0.189222306,0.191272348,0.123608768,0.129195705,0.144162819,0.152135268,0.077068575,0.07668402,0.099820554,0.114630483,0.028671429,0.018110171,0.03639508,0.052357402,0.798884511,0.740763307,0.65292418,0.562779248,0.521816373,0.522958696,0.413916945,0.349883288,0.294087231,0.517692447,0.403865963,0.451324761,0.514304578,0.528221667,0.42242825,0.467834115,0.532845676,0.551734269,0.470723212,0.475070685,0.503954172,2.52E-07,-0.030534385,-0.044171497,-0.059574801,-0.075368091,-0.000725358,-0.019283719,-0.035956495,-0.048823737,-0.003626005,-0.045757636,-0.072416253,-0.07926134,-0.010040344,-0.046779323,-0.058123633,-0.054666813,-0.019572409,-0.042183638,-0.047494017,-0.045551073,1
0.117651425,0.186022222,0.244573295,0.250469327,0.204017073,0.19293052,0.209059536,0.216715574,0.219059244,0.146690845,0.153729603,0.176481619,0.184398726,0.099876568,0.104187697,0.131819442,0.142162532,0.048958026,0.038523898,0.067228645,0.087499619,0.791493654,0.731060386,0.64669472,0.56184119,0.524316132,0.514881015,0.407259494,0.342997015,0.285288751,0.507489502,0.395799875,0.44295913,0.504288077,0.516144216,0.415723383,0.467727661,0.532797813,0.53923291,0.44768703,0.46457094,0.509753168,2.24E-07,-0.023360314,-0.034629103,-0.048950557,-0.064327151,-0.000172668,-0.016840933,-0.032199003,-0.044311661,-0.006160926,-0.04223007,-0.064904235,-0.07119406,-0.014697245,-0.048130512,-0.055685766,-0.05074285,-0.025737932,-0.047599647,-0.048880395,-0.043827426,1
0.122216612,0.192546546,0.246459544,0.252836585,0.209846318,0.199563384,0.216140091,0.223063022,0.224690571,0.153696552,0.161253467,0.183487698,0.192046717,0.107043311,0.113028601,0.141857848,0.152266726,0.055676445,0.047833525,0.078666151,0.101108402,0.786718965,0.723785281,0.640428543,0.557316959,0.512316585,0.508335173,0.401328683,0.339734614,0.283747852,0.501486659,0.392811418,0.442480445,0.501580417,0.510395288,0.412192881,0.463689506,0.527387738,0.53391099,0.444404811,0.461319983,0.505789101,2.11E-07,-0.02139248,-0.03184263,-0.045703579,-0.060470462,0.005028413,-0.008622964,-0.022127338,-0.032985725,-0.000449798,-0.032634892,-0.053687144,-0.059215751,-0.008403997,-0.037691493,-0.044154309,-0.039329845,-0.018725315,-0.037846833,-0.037971254,-0.032278389,1
0.150878504,0.22010614,0.276511461,0.281565964,0.240021676,0.231609046,0.247517526,0.255901694,0.258699715,0.186705023,0.197784811,0.222569108,0.2295665,0.141556934,0.147751957,0.177347839,0.186956763,0.091515362,0.089381263,0.121061347,0.140133187,0.779569387,0.716148436,0.637250125,0.556813538,0.512381315,0.502138853,0.398362339,0.335799873,0.278832823,0.49450168,0.38671875,0.440086097,0.503371716,0.503737569,0.405552506,0.459889233,0.524676085,0.527577281,0.435933858,0.458680511,0.506707132,1.68E-07,-0.019597057,-0.030366667,-0.044981327,-0.060534168,0.005064548,-0.010087142,-0.024211396,-0.035542794,-0.001868604,-0.03594869,-0.056732588,-0.061693691,-0.011202648,-0.042493731,-0.047604382,-0.041327916,-0.02265719,-0.043307636,-0.042250387,-0.03535568,1
0.176910505,0.246223703,0.304255009,0.313342541,0.272796631,0.261647135,0.277917683,0.285745531,0.288652658,0.218080431,0.229496434,0.255349517,0.263367444,0.17485705,0.183190227,0.213900506,0.223163888,0.127314106,0.130960166,0.163012266,0.180158377,0.780900598,0.7220577,0.642536759,0.558904409,0.512698889,0.505228698,0.402737439,0.340078533,0.281894416,0.496148288,0.388463855,0.443333149,0.5069291,0.503420651,0.406656742,0.462316275,0.52843827,0.52334249,0.433456361,0.460370302,0.510990381,1.66E-07,-0.022889027,-0.033693746,-0.047986288,-0.06235081,0.008202041,-0.006808023,-0.0212925,-0.033112038,0.002655452,-0.033239789,-0.055444214,-0.060453732,-0.005890554,-0.039650455,-0.046004385,-0.039346579,-0.016907785,-0.039537467,-0.039410535,-0.032447238,1
